İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI METROPORT;MICROS CİHAZ;;SN:4090200957;18.10.2017;;MAVİ EKRAN HATASI--ECHOPOSTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN BEBEK;ROBOTPOS YAZICI;;SN:1612090063;25.10.2017;;İÇİNE KAGIT SARMA PROBLEMİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI KARTAL KOÇTAŞ;ROBOTPOS CİHAZ;;SN:20160022184;24.10.2017;;BEYAZ EKRAN SORUNU. METİN ONARDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI KABATAŞ;ROBOTPOS CİHAZ;;SN:2016001164;01.11.2017;;DOKUNMATİK SORUNU--METİNE VERİLDİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ZİVERBEY (GELDİ);ROBOTPOS CİHAZ;;SN:2016001117 ;03.11.2017;;CİHAZIN SÜREKLİ SAATİNİN DEĞİŞMESİ HAKINDA ;;CİHAZ HAZIR;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ALANYA ALANYUM;ROBOTPOS YAZICI;;1612090047;03.11.2017;;KAPAK KAPANMIYOR-- GENEL KONTROL OFİS İÇİ METİNDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN BEBEK;ERAY YAZICI;;1612090063;07.11.2017;;KAĞIT ŞIKIŞTIRMA SORUNU;;SIFIR YAZICI ILE DEĞİŞİMİ YAPILDI, ŞUBEYE TESLİM EİDLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ANTALYA TERRACITY;ROBOTPOS CİHAZ;;SN:2016001032;09.11.2017;;DOKUNMATİK SORUNU--METİNE VERİLDİ ;;FORMATA TILDI;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SEYYAR YERİM HALKALI;ROBOTPOS CİHAZ;;SN:R2016002109 ;11.11.2017;;SES ÇIKMAMA SORUNU ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI PALLADİUM;ROBOTPOS CİHAZ;;SN:2016001112;16.11.2017;;CİHAZ DONMA VE DOKUNMATİK SORUNU ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;GÖNÜL KAHVESİ PENDİK MARİNA;ROBOTPOS CİHAZ;;SN: N204280061;20.11.2017;;CİHAZA KURULUM YAPILACAK.;;KURULUM ŞUBEYE TESLİM ETTİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;VE ALA MANGAL BEYLİKDÜZÜ MİGROS (geldi);ROBOTPOS YAZICI;;SN:1612090035;20.11.2017;;KAPAK KAPANMAMA SORUNU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
